month,age,sex,cluster,cluster_name,prob_C0,prob_C1,prob_C2,prob_C3,prob_C4,prob_C5,prob_C6,prob_C7
2509,10,M,5,의료·의약품 중심형,0.1209,0.124,0.1274,0.1291,0.127,0.1371,0.1139,0.1205
2510,7,F,5,의료·의약품 중심형,0.0988,0.1102,0.115,0.1811,0.1341,0.2047,0.0652,0.0909
2510,8,F,5,의료·의약품 중심형,0.102,0.1133,0.1096,0.1562,0.1405,0.2192,0.0665,0.0926
2510,8,M,5,의료·의약품 중심형,0.0964,0.1214,0.1161,0.1745,0.1493,0.1793,0.0689,0.0939
2510,9,F,5,의료·의약품 중심형,0.1007,0.1147,0.1111,0.1609,0.1454,0.2066,0.067,0.0935
2510,9,M,5,의료·의약품 중심형,0.0967,0.1167,0.1163,0.1637,0.1462,0.1994,0.0679,0.0929
2510,10,F,5,의료·의약품 중심형,0.1017,0.1228,0.1065,0.1544,0.1573,0.1853,0.0709,0.1011
2510,10,M,5,의료·의약품 중심형,0.1058,0.1161,0.1121,0.1646,0.1441,0.1902,0.0705,0.0964
2511,7,F,5,의료·의약품 중심형,0.1005,0.1134,0.1105,0.1639,0.1407,0.2139,0.0654,0.0917
2511,8,F,5,의료·의약품 중심형,0.1042,0.1162,0.1074,0.1531,0.1464,0.2128,0.0667,0.093
2511,8,M,5,의료·의약품 중심형,0.0969,0.1246,0.1104,0.1696,0.1569,0.1779,0.069,0.0945
2511,9,F,5,의료·의약품 중심형,0.1016,0.1168,0.1038,0.1509,0.1499,0.2169,0.0668,0.0933
2511,9,M,5,의료·의약품 중심형,0.1011,0.1208,0.1102,0.1589,0.1486,0.1923,0.0715,0.0966
2511,10,F,5,의료·의약품 중심형,0.1025,0.1208,0.1071,0.1564,0.1557,0.1951,0.0671,0.0955
2511,10,M,5,의료·의약품 중심형,0.1129,0.1212,0.1129,0.1517,0.1391,0.1762,0.0811,0.1048
2512,6,F,5,의료·의약품 중심형,0.0957,0.1144,0.1233,0.1832,0.1353,0.1872,0.0665,0.0944
2512,7,F,5,의료·의약품 중심형,0.097,0.1137,0.108,0.164,0.1415,0.2179,0.0654,0.0925
2512,8,F,5,의료·의약품 중심형,0.1006,0.1155,0.1067,0.1524,0.1446,0.2187,0.0673,0.094
2512,8,M,5,의료·의약품 중심형,0.0959,0.1267,0.1063,0.1665,0.1614,0.178,0.0692,0.0958
2512,9,F,5,의료·의약품 중심형,0.1,0.1157,0.1064,0.152,0.1462,0.2182,0.0673,0.0941
2512,9,M,5,의료·의약품 중심형,0.0992,0.1211,0.1075,0.1597,0.1538,0.1925,0.0701,0.0961
2512,10,F,5,의료·의약품 중심형,0.0997,0.1168,0.1092,0.1584,0.1507,0.2037,0.0666,0.095
2512,10,M,5,의료·의약품 중심형,0.1011,0.1204,0.1093,0.1607,0.1479,0.1843,0.0752,0.1012
2510,1,F,6,교육·선물 특화형,0.0745,0.1167,0.0786,0.092,0.097,0.0888,0.3562,0.0961
2507,1,F,7,커피·디저트형,0.103,0.1405,0.1063,0.1129,0.1194,0.111,0.0922,0.2148
2512,1,M,7,커피·디저트형,0.0894,0.1423,0.0992,0.1151,0.129,0.116,0.0867,0.2223
